Income,Kidhome,Teenhome,MntWines,MntMeatProducts,MntFishProducts,NumWebVisitsMonth,Age,Total_campaigns,Purchase_frequency
58138,0,0,635,546,120,7,68,0,25
46344,1,1,11,6,2,5,71,0,6
71613,0,0,426,127,111,4,60,0,21
26646,1,0,11,20,10,6,41,0,8
58293,1,0,173,118,46,5,44,0,19
62513,0,1,520,98,0,6,58,0,22
55635,0,1,235,164,50,6,54,0,21
33454,1,0,76,56,3,8,40,0,10
30351,1,0,14,24,3,9,51,0,6
5648,1,1,28,6,1,13,75,1,2
51381,1,0,5,6,0,7,42,0,4
7500,0,0,6,11,11,8,49,0,6
63033,0,0,194,480,120,2,66,0,16
59354,1,1,233,53,3,6,73,0,15
17323,0,0,3,17,6,8,38,0,5
82800,0,0,1006,115,59,3,79,2,26
41850,1,1,53,19,2,8,45,0,9
37760,0,0,84,38,120,7,79,0,13
76995,0,1,1012,498,0,5,76,1,26
33812,1,0,4,19,30,6,40,0,8
37040,0,0,86,73,69,8,43,0,12
2447,1,0,1,556,1,1,46,0,16
58607,0,1,867,86,0,8,76,1,17
65324,0,1,384,102,21,4,71,0,20
40689,0,1,270,27,39,8,74,0,19
18589,0,0,6,25,15,7,56,0,8
53359,1,1,173,30,3,7,49,0,14
51381,1,0,5,3,3,1,39,0,12
38360,1,0,36,42,20,3,36,0,9
84618,0,0,684,556,21,2,60,1,26
10979,0,0,8,10,2,5,36,0,8
38620,0,0,112,44,34,3,62,0,11
40548,0,1,110,5,2,5,55,1,9
46610,0,2,96,96,33,6,73,0,17
68657,0,0,482,471,119,7,79,0,18
49389,1,1,40,19,2,7,74,0,6
67353,0,1,702,151,0,2,55,0,28
23718,1,0,6,14,15,7,49,0,9
42429,0,1,55,6,2,5,52,0,7
48948,0,0,437,206,120,6,82,1,24
80011,0,1,421,536,82,4,45,0,21
20559,1,0,13,29,3,8,40,0,7
21994,0,1,9,6,3,5,68,0,4
51381,0,0,81,50,3,2,66,0,9
7500,1,0,3,10,3,5,50,0,8
79941,0,0,123,266,120,1,49,0,16
7500,0,0,3,14,15,9,29,0,10
41728,1,0,13,15,3,10,57,0,5
51381,2,1,48,48,6,6,74,0,10
72550,1,1,826,317,50,8,71,0,25
65486,0,1,245,125,37,2,68,0,17
79143,0,0,650,556,27,3,61,0,29
35790,1,0,12,20,30,7,48,0,7
82582,0,0,510,550,120,1,48,2,21
66373,1,1,328,124,12,3,47,0,22
82384,0,0,984,432,120,1,70,1,27
70287,0,0,295,482,120,3,59,0,21
27938,1,0,13,8,2,3,37,0,6
51381,1,0,11,22,2,6,43,0,7
55954,0,1,447,28,0,7,57,0,19
75777,0,0,712,538,69,1,43,2,21
66653,1,1,452,102,16,3,50,0,22
61823,0,1,523,134,37,7,73,0,24
67680,0,1,546,48,0,5,74,0,19
70666,0,0,398,367,119,4,77,0,16
25721,1,0,1,6,3,7,54,0,5
32474,1,1,10,1,0,7,58,0,4
88194,0,1,688,309,120,5,46,2,32
69096,0,1,247,159,7,4,67,0,18
74854,1,2,856,487,58,5,55,0,18
66991,0,0,496,460,120,3,71,0,21
51381,1,0,25,43,17,8,52,0,9
65031,0,1,258,291,84,7,66,0,30
60631,1,1,565,65,0,7,50,1,24
28332,0,0,14,13,4,2,73,0,8
40246,1,0,2,6,2,6,48,0,4
75251,0,0,721,556,97,5,53,0,19
75825,0,0,1032,556,120,4,49,1,22
26326,0,0,1,5,0,3,49,0,4
56046,0,0,577,64,0,8,60,1,21
29760,1,0,64,68,7,8,40,0,12
26304,1,0,4,5,2,7,56,0,4
23559,1,0,25,19,7,7,52,0,9
38620,0,0,112,44,34,3,62,0,11
81361,0,0,163,424,27,1,38,0,27
29440,1,1,17,14,10,7,65,0,7
36138,1,1,130,16,0,7,55,1,13
50388,0,1,292,37,0,7,68,2,17
79593,0,0,350,556,110,2,52,1,19
54178,0,1,135,39,4,2,58,0,10
51381,2,1,230,192,49,9,68,0,23
51381,1,1,7,8,2,7,68,0,4
51381,0,0,445,359,98,1,52,0,15
42394,1,0,15,10,0,7,53,0,5
23626,1,0,27,14,0,5,55,0,10
30096,1,0,5,11,12,6,42,0,6
47916,0,1,505,26,0,6,65,1,22
51813,1,1,51,7,0,7,53,0,7
78497,0,0,207,447,75,2,74,1,25
50150,0,0,135,92,65,5,42,0,16
47823,0,1,53,5,2,8,65,0,7
34554,0,1,41,6,2,6,66,0,7
85693,0,1,386,183,120,5,46,0,27
65846,0,0,562,276,80,4,80,0,16
87195,0,0,217,556,50,1,66,0,19
24594,1,0,1,6,10,5,46,0,5
49096,1,1,144,32,2,7,61,0,13
52413,0,2,295,271,75,6,56,0,26
38557,1,0,76,31,4,7,47,0,9
89058,0,0,454,106,31,2,65,0,14
77298,0,1,425,292,23,3,46,0,24
68126,0,0,1225,311,23,9,34,1,17
57288,0,1,527,21,0,6,62,1,20
86037,0,0,490,125,29,3,34,2,25
43974,1,0,378,101,0,7,45,0,21
50785,1,1,64,21,0,6,63,0,8
90765,0,0,547,556,120,1,55,2,15
36550,1,0,47,94,120,9,47,0,20
30753,1,1,12,25,0,5,58,0,7
21918,1,0,1,7,11,6,56,0,7
56129,0,1,320,133,39,4,72,0,22
32557,1,0,34,29,0,5,58,0,9
19510,2,0,9,7,3,7,40,0,6
30992,1,0,17,14,7,7,49,0,5
101970,0,0,722,102,44,2,42,3,27
71488,0,0,162,124,40,1,60,0,16
79607,0,0,450,556,120,1,41,0,16
54348,1,1,70,16,0,6,72,0,8
51381,0,1,352,27,10,6,64,0,17
77376,1,1,492,110,16,4,69,0,23
62998,0,1,120,73,65,5,73,0,19
61331,1,1,534,47,0,8,67,0,23
73448,0,0,236,189,23,4,56,0,19
51381,0,1,231,196,38,4,62,0,19
41551,1,1,220,33,3,8,61,0,16
62981,0,0,796,556,38,3,58,1,23
9548,1,0,0,3,10,8,49,0,6
33762,2,1,53,34,2,8,66,0,9
35860,1,1,15,8,4,5,52,1,6
36921,1,1,17,12,3,7,60,0,7
92859,0,0,962,556,52,2,33,0,22
65104,0,1,738,232,13,7,49,0,17
86111,0,0,399,556,36,2,63,0,23
68352,0,1,614,132,43,6,51,0,25
41883,1,0,32,41,73,7,37,0,12
59809,0,2,598,141,32,8,49,0,15
23957,1,0,2,18,20,6,50,0,6
38547,1,0,6,10,0,8,44,0,4
35688,2,1,73,90,12,8,52,0,15
49605,0,0,42,29,12,3,59,0,8
59354,0,2,295,78,39,3,72,0,16
65747,0,1,346,48,23,6,56,1,19
46344,0,1,233,57,8,7,53,0,17
34176,1,0,5,24,19,6,37,0,11
61010,0,1,888,57,0,5,73,0,26
69372,0,0,997,269,34,4,76,2,21
49967,0,1,212,69,4,7,67,0,15
60199,1,2,8,7,2,4,47,0,4
55375,0,1,42,57,10,2,48,0,9
80317,0,0,536,387,120,1,70,0,18
30523,2,1,5,3,0,7,67,0,4
70356,0,0,1225,249,43,6,80,0,27
23228,1,0,53,49,7,8,41,0,11
74165,0,0,1001,240,16,2,50,0,20
117416,0,1,20,556,1,0,52,0,16
43482,2,1,18,32,6,6,59,0,9
62551,0,0,125,98,120,3,72,1,18
52332,0,0,212,33,7,4,66,1,12
66951,0,0,277,305,120,1,37,0,15
26091,1,1,15,19,8,5,68,0,9
33456,1,1,7,10,8,7,60,0,6
28718,1,0,12,6,11,8,43,0,7
50447,2,0,85,24,2,6,55,0,8
53537,1,1,81,6,0,5,66,0,8
52074,0,1,59,12,0,4,58,1,7
80427,0,1,1149,449,69,5,50,0,28
83837,0,0,847,119,86,4,77,2,25
38853,1,1,29,14,0,7,55,0,7
38285,2,1,2,5,2,2,66,0,4
78497,0,0,207,447,75,2,74,1,25
51650,0,1,152,22,2,5,49,0,10
16248,1,0,12,10,3,6,37,0,9
66835,0,0,620,195,34,2,79,0,24
30477,1,0,47,6,0,6,41,0,6
28249,0,0,1,7,2,6,64,0,6
25271,1,0,10,18,10,9,42,0,5
32303,0,1,35,2,0,5,55,0,7
61286,0,1,356,107,19,5,59,0,18
74068,0,0,783,537,120,2,49,0,24
45759,1,1,42,18,3,7,61,0,7
24882,1,0,1,10,29,6,47,1,5
66973,0,0,466,432,120,3,36,0,28
36640,1,0,15,8,7,5,93,0,6
38872,1,0,23,21,3,8,37,0,8
51148,1,1,235,45,8,6,52,0,16
31353,1,1,10,10,3,8,48,0,6
69661,0,0,656,106,32,3,45,0,23
80067,0,0,519,556,27,2,71,1,17
86718,0,0,344,482,50,2,71,0,17
46854,1,1,96,79,7,8,52,1,15
69142,0,1,448,34,6,5,73,1,19
75922,0,0,265,553,120,1,57,0,18
63693,0,1,587,337,42,6,47,0,29
102160,0,0,763,138,76,4,48,3,26
40637,1,1,22,13,0,7,60,0,6
18890,0,0,6,1,7,6,41,1,4
29604,1,0,7,13,7,9,37,1,5
48721,1,1,81,113,47,6,62,0,17
44794,0,1,54,7,0,6,59,0,6
64497,0,1,1170,320,42,8,71,1,29
46097,0,1,72,68,65,4,69,0,15
77972,0,0,613,319,33,1,71,0,20
44377,1,1,224,30,0,8,57,0,17
46014,1,1,410,59,19,7,51,0,22
70951,0,0,239,554,120,1,40,0,17
41443,1,0,171,171,25,8,48,0,20
52195,2,1,12,4,0,8,47,0,4
83790,0,0,1076,417,42,3,77,2,25
44551,0,1,182,33,0,7,71,0,12
69508,1,0,824,162,42,6,45,0,28
45204,1,0,30,25,29,3,37,0,7
72460,0,0,377,540,80,1,56,0,16
77622,0,2,520,154,19,3,55,0,22
30732,1,0,155,25,0,8,45,0,13
63887,0,1,897,207,15,6,63,0,32
42011,1,0,131,16,2,8,47,0,12
51369,0,1,297,79,0,8,49,0,16
51537,0,1,787,204,0,8,73,0,18
79930,0,0,792,556,67,2,53,0,17
34320,1,0,4,9,3,8,39,0,4
37070,1,1,231,137,4,7,59,0,20
81975,0,1,983,184,120,7,63,1,14
38590,1,0,3,8,4,8,54,0,4
15033,0,0,0,5,6,3,74,0,5
62745,0,1,562,464,28,5,60,0,29
22212,1,0,5,20,6,6,50,0,8
23661,1,0,18,4,0,7,43,0,5
79761,0,1,415,124,15,3,67,0,19
7500,1,0,5,10,12,7,52,0,11
60182,0,1,8,5,7,4,93,0,4
73455,0,0,901,556,120,3,57,1,22
64961,0,1,382,276,75,3,67,0,16
22804,1,0,14,7,2,9,54,0,5
73687,0,0,559,503,120,2,35,1,22
61074,0,1,789,133,0,7,67,0,30
31686,1,1,11,5,0,6,61,0,6
80134,1,0,1218,272,104,6,53,3,16
75027,0,1,925,179,120,5,72,0,21
67546,0,0,864,556,120,3,37,0,20
65176,0,1,960,183,120,6,56,0,25
31160,1,0,16,25,6,8,50,0,7
29938,1,0,3,7,0,6,40,0,6
102692,0,0,168,444,32,2,51,4,29
26490,0,0,45,52,21,6,67,0,11
75702,1,1,650,353,45,8,58,0,26
30899,1,0,24,8,0,6,51,0,6
63342,0,1,918,118,13,6,64,1,19
45989,0,1,138,87,28,3,61,0,16
18701,1,1,12,2,10,5,61,0,10
40737,2,1,11,4,0,8,68,0,4
15287,1,0,1,8,4,7,46,1,6
69674,0,2,554,215,11,5,57,0,25
44159,1,0,167,62,24,5,55,0,15
37717,1,0,9,6,4,9,47,0,4
43776,1,1,177,71,3,8,73,0,17
38179,1,1,38,22,4,7,59,0,11
80124,0,0,483,398,120,1,62,1,19
38097,1,1,77,35,0,7,55,1,11
72940,0,0,182,298,120,1,55,0,13
22070,1,0,10,19,8,6,55,0,8
69267,0,0,778,499,95,7,72,0,14
31788,1,0,16,23,0,5,42,0,10
61905,0,1,167,43,6,5,50,0,12
29315,1,1,13,14,8,6,65,0,10
33378,1,1,33,40,3,7,62,0,9
66313,0,1,625,99,10,4,62,0,23
60714,0,0,216,224,101,5,69,0,23
77882,0,0,68,396,120,1,44,0,12
69867,0,0,196,512,33,1,39,1,17
63841,0,1,635,100,20,6,57,0,22
24480,1,0,4,9,28,7,44,0,10
51369,0,1,297,79,0,8,49,0,16
37760,0,0,84,38,120,7,79,0,13
65640,0,1,204,149,20,2,51,0,15
44319,1,1,26,8,0,5,50,0,7
30631,1,0,15,20,4,7,51,0,7
75278,0,0,304,230,120,3,73,0,23
50898,1,1,285,242,55,5,69,0,26
79946,0,0,395,556,120,3,59,0,21
35416,0,0,248,81,4,8,76,0,16
32414,0,0,20,5,0,7,41,1,5
38361,1,0,39,56,20,7,56,0,10
82497,0,0,777,556,120,4,45,1,19
16626,2,0,8,22,21,9,54,0,9
29672,1,1,9,3,0,6,60,0,4
55951,0,1,1225,80,0,8,73,2,23
35388,1,0,6,7,4,7,37,0,5
42386,1,0,65,16,0,8,39,0,7
68627,0,0,395,263,60,1,43,0,12
57912,0,1,801,80,0,5,60,1,28
35246,1,1,36,12,2,5,67,0,11
58821,0,1,513,154,19,6,69,0,21
46377,1,0,37,46,4,4,47,0,7
